	D1	D2	D3	D4	D5
first	0.698970004	0	0	0	0
five	0.698970004	0	0	0	0
document	0.22184875	0.22184875	0.22184875	0	0
single	0	0.698970004	0	0	0
line	0	0.397940009	0	0.397940009	0
title	0	0.698970004	0	0	0
separate	0	0.698970004	0	0	0
tab	0	0.397940009	0.198970004	0	0
character	0	0.698970004	0	0	0
well	0	0	0.349485002	0	0
just	0	0	0.349485002	0	0
confus	0	0	0.349485002	0	0
rest	0	0	0.349485002	0	0
whitespace	0	0	0.349485002	0	0
easier	0	0	0.349485002	0	0
need	0	0	0	0.698970004	0
look	0	0	0	0.698970004	0
out	0	0	0	0.698970004	0
carriage	0	0	0	0.397940009	0.397940009
return	0	0	0	0.397940009	0.397940009
though	0	0	0	0.698970004	0
language	0	0	0	0.397940009	0.397940009
entity	0	0	0	0.698970004	0
insist	0	0	0	0	0.698970004
block	0	0	0	0	0.698970004
text	0	0	0	0	0.698970004
delineat	0	0	0	0	0.698970004
statement	0	0	0	0	0.698970004
